adds,removes,excluded,n_active,full_score,full_mean,full_std,full_sharpe,test_score,test_mean,test_std,test_sharpe,cv_mean_score,cv_min_score,cv_mean_sharpe
"AENO,FWWG,DIHO","FARS,HETT,ITPA","5,7,18,34,43,48",45,810.0998492492764,888.5153295912039,4370.856590198368,3.214166513474983,786.0740209071112,863.0694463719998,4270.87132098308,3.195208921452399,780.8418555653711,405.3866198596114,3.1343603036190055
"AENO,FWWG,DIHO","FARS,HETT,NPCK","5,7,11,18,34,48",45,804.7041056058911,883.233443223205,4362.579637719522,3.2011213756069736,787.3424541312189,864.7033619319961,4285.644034744601,3.1902231052572705,780.3330088554972,432.2769921893315,3.1385541230262413
"AENO,FWWG,DIHO","FARS,HETT,CCNS","5,7,18,32,34,48",45,811.097759092827,890.0167314352049,4389.573095102658,3.20586987164387,787.2590022603637,864.6911382820085,4287.783163628757,3.1885864620316307,778.428318622251,395.01554321534314,3.1203200132060243
"AENO,FWWG,DIHO","FARS,HETT,HRND","5,7,18,34,38,48",45,810.2621613344462,888.5090759872049,4365.688096793717,3.217949083346928,785.9397132008402,863.223477692008,4279.990106979434,3.188970360920756,777.9147883255557,381.9572973240992,3.1249503146192246
"AENO,FWWG,DIHO","FARS,ITPA,NPCK","5,11,18,34,43,48",45,805.2232566259102,883.2169245192008,4346.1919638149175,3.213131371949485,779.2220137909678,855.7971595819993,4241.838744340756,3.1899706736757425,778.5573999948988,410.85872646803017,3.145316379794224
"AENO,FWWG,DIHO","FARS,ITPA,CCNS","5,18,32,34,43,48",45,811.6374853434335,890.0002127312058,4372.540472181629,3.2182981588970527,779.1477044049119,855.7849359320035,4243.6997385561335,3.188526228916426,776.6594060230473,373.5769738825765,3.1273205318036057
"AENO,FWWG,DIHO","FARS,ITPA,HRND","5,18,34,38,43,48",45,810.7545921259132,888.4925572832032,4350.06427664035,3.2294467235924493,777.7925404803226,854.317275341989,4236.997645800627,3.18809291431574,776.0720509891762,360.3957061107551,3.1308755656632723
"AENO,FWWG,DIHO","FARS,NPCK,CCNS","5,11,18,32,34,48",45,806.2540183351762,884.7183263632018,4363.903680100723,3.2055301905006024,780.4316246017524,857.4188514919916,4257.992975296791,3.1838902685030432,776.1851305563588,400.52716401984617,3.131977760429345
"AENO,FWWG,DIHO","FARS,NPCK,HRND","5,11,18,34,38,48",45,805.405673651679,883.210670915199,4340.4096007014705,3.217389176134528,779.0850481964833,855.9511909019889,4251.029452831809,3.183646878029489,775.6443085724866,387.42295961866023,3.1364061044167832
"AENO,FWWG,DIHO","FARS,CCNS,HRND","5,18,32,34,38,48",45,811.8330288193899,889.9939591271919,4366.350199641207,3.2228381668332458,779.0575865752274,855.9389672519907,4251.4650103672775,3.183275256891665,773.7443018235884,350.09916470332314,3.118557080855313
"AENO,FWWG,DIHO","EORC,LSST,HETT","2,5,7,13,18,34",45,800.4567892366441,878.1343687272054,4325.23665817747,3.2101187938490874,770.3313761028926,848.0855872520106,4260.228105457031,3.1475804112959644,778.5945348394347,439.34258542023406,3.153847378511645
"AENO,FWWG,DIHO","EORC,LSST,ITPA","2,5,13,18,34,43",45,801.0250109291269,878.1178500232021,4307.316565310526,3.2234134849608718,762.3080049488844,839.1793849020021,4213.489435990823,3.149074255511225,776.8811995533065,418.03546006301946,3.161407225054404
"AENO,FWWG,DIHO","EORC,LSST,NPCK","2,5,11,13,18,34",45,795.5632841360894,872.8359636551999,4301.087291632118,3.208665020852197,763.4638210616154,840.8133004619926,4231.594500637564,3.141705940896268,776.2943128373715,444.7901468033368,3.164473052663778
"AENO,FWWG,DIHO","EORC,LSST,CCNS","2,5,13,18,32,34",45,802.0606310776917,879.6192518671998,4324.900986780423,3.2157965212798656,763.5449400641251,840.801076811998,4228.754328969835,3.143770310364446,774.5288885416394,407.7413081919534,3.147730283065071
"AENO,FWWG,DIHO","EORC,LSST,HRND","2,5,13,18,34,38",45,801.1708733404329,878.111596419198,4302.642597265519,3.2268921037689684,762.1173590753715,839.3334162220044,4224.2284984783955,3.1416450512889167,773.8922955543495,394.48561943857834,3.1513299685240574
"AENO,FWWG,DIHO","EORC,HETT,ITPA","5,7,13,18,34,43",45,804.3133337985545,882.0336507592015,4335.206668232755,3.2169577170926567,758.9550555887714,837.1263627019897,4247.923441776322,3.115905961812183,776.6635173276504,407.6675417785742,3.144949449426269
"AENO,FWWG,DIHO","EORC,HETT,NPCK","5,7,11,13,18,34",45,798.8599961661398,876.751764391203,4328.696105148394,3.2025030756374444,760.1137435990488,838.7602782620012,4265.877329385385,3.108848057952347,776.100138576315,434.476341496956,3.148174605517889
"AENO,FWWG,DIHO","EORC,HETT,CCNS","5,7,13,18,32,34",45,805.3060563606396,883.5350526032024,4354.087823234048,3.2084598109318083,760.122526965568,838.7480546119983,4265.220765830446,3.1092813024565586,774.2486493539666,397.2799645741593,3.130764826729858
"AENO,FWWG,DIHO","EORC,HETT,HRND","5,7,13,18,34,38",45,804.4538745255182,882.027397155203,4330.701619189308,3.2202813527043364,758.7926740275797,837.2803940220037,4257.750593730462,3.109286261637211,773.6870004550022,384.12881902269726,3.134899143848105
"AENO,FWWG,DIHO","EORC,ITPA,NPCK","5,11,13,18,34,43",45,799.4008208472129,876.7352456872035,4311.6411222487895,3.2151102129214983,752.0745764500247,829.8540759119996,4219.624972013078,3.1095524162236585,774.3457840730345,413.1194734649414,3.15525817436856
"AENO,FWWG,DIHO","EORC,ITPA,CCNS","5,13,18,32,34,43",45,805.8675324863113,883.5185338992034,4336.3803686378615,3.22150121135683,752.0936861113275,829.8418522620027,4218.659214563136,3.110218457350114,772.5004943108854,375.8984185495311,3.1381059643256677
"AENO,FWWG,DIHO","EORC,ITPA,HRND","5,13,18,34,38,43",45,804.9677344555273,882.010878451197,4314.412923251646,3.2323787112727236,750.7272057058303,828.3741916719998,4212.285392481683,3.109415621814133,771.8638362663779,362.62146334787127,3.1411369669759237
"AENO,FWWG,DIHO","EORC,NPCK,CCNS","5,11,13,18,32,34",45,800.4267086890628,878.2366475312044,4329.5056531792125,3.2073270637604367,753.2671479663544,831.4757678220037,4236.160424877574,3.1034675057553582,771.9728419360873,402.77227995458503,3.1417987432270498
