vol_window,soft_cut,hard_cut,high_scale,full_score,full_mean,full_std,full_sharpe,full_dvolume,min_cv_score,avg_cv_score,cv_scores,avg_cv_sharpe
3,0.004,0.01,0.5,445.56638469701574,483.4615496592,2229.295481843697,3.428974917163685,52883485.85999999,251.25913803337323,435.4677066257724,"[np.float64(734.2683611131155), np.float64(379.3382344882926), np.float64(251.25913803337323), np.float64(377.0050928683081)]",3.574287258906735
3,0.004,0.01,0.75,571.1755288665859,622.8177938360018,2961.0712713283588,3.325692993062273,67262496.44999994,304.5635416957503,561.7927600358072,"[np.float64(991.5838196516406), np.float64(466.51611808515423), np.float64(304.5635416957503), np.float64(484.50756071068366)]",3.4633947992959393
3,0.004,0.012,0.25,344.7754204615593,373.10141176400055,1690.9131711651144,3.4887961118240427,42012455.669999994,210.5763769946614,330.9952878489363,"[np.float64(518.6431627635906), np.float64(302.8546372029146), np.float64(210.5763769946614), np.float64(291.9069744345787)]",3.6522128486021437
3,0.004,0.012,0.5,503.5092033552328,541.6498770263992,2357.106071019114,3.633369169960537,59927918.32999999,285.6784967759462,487.1840244522431,"[np.float64(821.8420708521999), np.float64(407.92383950084104), np.float64(285.6784967759462), np.float64(433.29169067998515)]",3.7084778072101745
3,0.004,0.012,0.75,657.1677816875715,709.9043654328008,3179.711487171436,3.530060391833153,77849032.64999995,355.762025338575,638.4545943113776,"[np.float64(1122.0176689687987), np.float64(508.31570191462924), np.float64(355.762025338575), np.float64(567.7229810235077)]",3.585464549863114
3,0.004,999.0,0.25,344.9927844290787,374.941862560798,1746.7094114934343,3.394011242042223,43117643.83,197.68745094009577,329.74494667698815,"[np.float64(528.7471976446845), np.float64(281.06564733883016), np.float64(197.68745094009577), np.float64(311.47949078434215)]",3.463673974804154
3,0.004,999.0,0.5,502.3265912783457,545.1493498215988,2516.690087168271,3.424962054695959,62151391.550000004,257.9284451003975,482.68624081115655,"[np.float64(840.6523239811015), np.float64(360.96925525895824), np.float64(257.9284451003975), np.float64(471.19493890416885)]",3.3916169977792228
3,0.004,999.0,0.75,654.2786085662412,715.0251687584026,3444.8539829445085,3.2818635112222188,81186642.87999997,313.11019101047646,630.4659705258798,"[np.float64(1149.1128967026211), np.float64(435.3826333572338), np.float64(313.11019101047646), np.float64(624.2581610331878)]",3.2352408125742964
3,0.005,0.006,0.25,306.8255897392894,347.68938517280014,2006.2497623245001,2.7401632539901786,34549336.860000014,200.01423047468742,303.59943430293225,"[np.float64(430.03378923946656), np.float64(318.9575415428174), np.float64(200.01423047468742), np.float64(265.3921759547576)]",2.7636282017419025
3,0.005,0.006,0.5,347.0712356545535,387.49013969279963,2090.8054125989734,2.930333461216013,38325262.28000001,236.81289988063514,346.4215415236639,"[np.float64(478.13315572397664), np.float64(364.7306414952395), np.float64(236.81289988063514), np.float64(306.00946899480437)]",2.985040044216129
3,0.005,0.006,0.75,385.2863152451768,427.2254623464006,2228.6667713714724,3.0309724916878236,42104145.390000015,271.4129017470785,387.1791605134471,"[np.float64(525.2998947932917), np.float64(408.60970186686336), np.float64(271.4129017470785), np.float64(343.3941436465547)]",3.1172878311672543
3,0.005,0.007,0.25,308.85043800193085,350.1588750792011,2024.7919882373965,2.734353935133268,36699189.95000002,211.340129335618,306.5106407580188,"[np.float64(427.06540890585154), np.float64(304.7897230344622), np.float64(211.340129335618), np.float64(282.8473017561434)]",2.7668365089828137
3,0.005,0.007,0.5,349.8676707644728,392.3592794680004,2161.989659985664,2.869460958082582,42643305.57,257.28148943491726,350.9327462752295,"[np.float64(471.66768584085395), np.float64(335.13477643185587), np.float64(257.28148943491726), np.float64(339.64703339329094)]",2.938996767905511
3,0.005,0.007,0.75,388.05983640086004,434.51919316160075,2377.2027115292854,2.8900992136370265,48591510.28,300.1429891996326,392.6266404676611,"[np.float64(514.5229015476037), np.float64(363.1418159727528), np.float64(300.1429891996326), np.float64(392.6988551506551)]",2.991591380665654
3,0.005,0.008,0.25,316.9844968849008,359.162328900801,2071.49504401708,2.741428255735875,39661245.7,169.52544998881447,305.46070763173253,"[np.float64(516.4409673475536), np.float64(282.06975031670646), np.float64(169.52544998881447), np.float64(253.80666287385563)]",2.7325432459132264
3,0.005,0.008,0.5,363.30590354108307,410.3782681128024,2335.6143693266413,2.7781341956845402,48599166.34999998,170.50991662615914,346.1194939563157,"[np.float64(647.8898087441459), np.float64(287.8207273573081), np.float64(170.50991662615914), np.float64(278.2575230976497)]",2.7783018005115823
3,0.005,0.008,0.75,405.1931943418786,461.6296590367998,2724.034084591591,2.679484016555694,57538351.92000001,167.0281808265568,382.6263864404152,"[np.float64(776.5505155512135), np.float64(290.23728366211617), np.float64(167.0281808265568), np.float64(296.68956572177456)]",2.689353527020297
3,0.005,0.01,0.25,382.1118850478855,420.9455163960001,2121.800860332333,3.136832083380857,43424651.769999996,223.44628972779924,376.01890383164704,"[np.float64(603.8848666402602), np.float64(351.7880257528964), np.float64(223.44628972779924), np.float64(324.9564332056323)]",3.1786711528459093
3,0.005,0.01,0.5,490.73249671327386,534.6245648088013,2528.0725152544483,3.3437160280624973,56165023.88999997,273.23964005686867,483.9781563431541,"[np.float64(821.1123980526553), np.float64(423.3255969630191), np.float64(273.23964005686867), np.float64(418.23499030007343)]",3.4332422420997064
3,0.005,0.01,0.75,594.1037063047778,648.3479471207992,3097.5892697781,3.309438486889848,68908437.50999996,316.42477915930834,586.5390350050122,"[np.float64(1035.2197150774339), np.float64(489.23612045283886), np.float64(316.42477915930834), np.float64(505.2755253304681)]",3.432278521579481
3,0.005,0.012,0.25,412.0756259991235,449.8480293360013,2153.449404047417,3.3029435726846628,46925971.85999998,241.43093290066636,402.8519463570703,"[np.float64(648.6098160505444), np.float64(367.52957616457434), np.float64(241.43093290066636), np.float64(353.8374603124959)]",3.325230084487089
3,0.005,0.012,0.5,549.2286871657705,592.8153831663989,2640.522286020639,3.549765235302029,63202297.779999964,308.2387630735908,536.2951158819471,"[np.float64(909.2384317553276), np.float64(453.0629905893089), np.float64(308.2387630735908), np.float64(474.64027810956134)]",3.5919302363015992
